country,year,uniqueid,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type,uid,bank_account
Rwanda,2016,uniqueid_2433,Urban,Yes,2,35,Female,Head of Household,Single/Never Married,Primary education,Informally employed,Rwanda_uniqueid_2433,No
Rwanda,2016,uniqueid_4789,Rural,Yes,4,21,Male,Child,Single/Never Married,Secondary education,Self employed,Rwanda_uniqueid_4789,No
Kenya,2018,uniqueid_93,Urban,Yes,10,21,Female,Parent,Single/Never Married,Tertiary education,Remittance Dependent,Kenya_uniqueid_93,Yes
Rwanda,2016,uniqueid_2151,Urban,Yes,6,19,Female,Other non-relatives,Single/Never Married,No formal education,Informally employed,Rwanda_uniqueid_2151,No
Rwanda,2016,uniqueid_3856,Rural,Yes,3,25,Male,Head of Household,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_3856,Yes
Uganda,2018,uniqueid_1966,Urban,Yes,8,61,Female,Head of Household,Widowed,No formal education,Self employed,Uganda_uniqueid_1966,No
Kenya,2018,uniqueid_4330,Urban,Yes,5,19,Female,Child,Single/Never Married,Vocational/Specialised training,Remittance Dependent,Kenya_uniqueid_4330,Yes
Tanzania,2017,uniqueid_5137,Rural,Yes,3,19,Female,Other relative,Divorced/Seperated,Tertiary education,Informally employed,Tanzania_uniqueid_5137,No
Rwanda,2016,uniqueid_5866,Rural,Yes,2,59,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Rwanda_uniqueid_5866,No
Uganda,2018,uniqueid_980,Rural,Yes,5,23,Female,Spouse,Married/Living together,Primary education,Other Income,Uganda_uniqueid_980,No
Rwanda,2016,uniqueid_4470,Rural,Yes,5,63,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_4470,No
Rwanda,2016,uniqueid_5210,Rural,No,3,65,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Rwanda_uniqueid_5210,No
Rwanda,2016,uniqueid_4443,Rural,No,5,76,Female,Head of Household,Widowed,No formal education,Remittance Dependent,Rwanda_uniqueid_4443,No
Rwanda,2016,uniqueid_1377,Rural,Yes,7,41,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_1377,No
Tanzania,2017,uniqueid_2275,Urban,Yes,3,40,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_2275,No
Tanzania,2017,uniqueid_6041,Urban,Yes,2,62,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_6041,No
Rwanda,2016,uniqueid_2487,Rural,Yes,6,28,Male,Child,Single/Never Married,Primary education,Informally employed,Rwanda_uniqueid_2487,No
Rwanda,2016,uniqueid_7630,Rural,Yes,2,67,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Rwanda_uniqueid_7630,No
Tanzania,2017,uniqueid_4928,Urban,Yes,4,22,Female,Head of Household,Divorced/Seperated,Tertiary education,Self employed,Tanzania_uniqueid_4928,No
Tanzania,2017,uniqueid_6279,Urban,No,3,59,Female,Head of Household,Widowed,Primary education,Informally employed,Tanzania_uniqueid_6279,No
Tanzania,2017,uniqueid_3162,Urban,No,2,53,Female,Spouse,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_3162,No
Kenya,2018,uniqueid_5341,Urban,No,2,78,Female,Head of Household,Widowed,No formal education,Government Dependent,Kenya_uniqueid_5341,No
Rwanda,2016,uniqueid_5592,Rural,Yes,4,40,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_5592,No
Rwanda,2016,uniqueid_7818,Rural,Yes,6,32,Male,Head of Household,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_7818,No
Tanzania,2017,uniqueid_817,Urban,Yes,6,21,Male,Parent,Divorced/Seperated,Primary education,Informally employed,Tanzania_uniqueid_817,No
Rwanda,2016,uniqueid_1755,Rural,Yes,7,44,Female,Head of Household,Married/Living together,No formal education,Dont Know/Refuse to answer,Rwanda_uniqueid_1755,No
Rwanda,2016,uniqueid_8113,Rural,Yes,3,18,Male,Parent,Single/Never Married,Primary education,Other Income,Rwanda_uniqueid_8113,No
Rwanda,2016,uniqueid_3100,Rural,Yes,7,58,Female,Spouse,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_3100,No
Rwanda,2016,uniqueid_1904,Rural,No,4,33,Female,Child,Divorced/Seperated,Primary education,Informally employed,Rwanda_uniqueid_1904,No
Tanzania,2017,uniqueid_36,Urban,Yes,3,20,Male,Parent,Divorced/Seperated,Primary education,Self employed,Tanzania_uniqueid_36,No
Rwanda,2016,uniqueid_4919,Urban,Yes,4,36,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,Rwanda_uniqueid_4919,Yes
Kenya,2018,uniqueid_3870,Rural,Yes,9,17,Male,Child,Single/Never Married,Secondary education,Farming and Fishing,Kenya_uniqueid_3870,No
Tanzania,2017,uniqueid_3555,Urban,Yes,2,34,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private,Tanzania_uniqueid_3555,Yes
Rwanda,2016,uniqueid_6732,Rural,Yes,4,35,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_6732,Yes
Tanzania,2017,uniqueid_4834,Rural,Yes,2,35,Female,Spouse,Single/Never Married,No formal education,Informally employed,Tanzania_uniqueid_4834,No
Tanzania,2017,uniqueid_5563,Urban,Yes,2,27,Female,Spouse,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_5563,No
Rwanda,2016,uniqueid_6893,Rural,Yes,3,26,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,Rwanda_uniqueid_6893,No
Kenya,2018,uniqueid_2594,Rural,Yes,12,23,Male,Child,Single/Never Married,Secondary education,Informally employed,Kenya_uniqueid_2594,No
Uganda,2018,uniqueid_708,Rural,Yes,3,20,Female,Spouse,Married/Living together,Primary education,Formally employed Private,Uganda_uniqueid_708,No
Rwanda,2016,uniqueid_3713,Rural,Yes,8,45,Male,Head of Household,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_3713,No
Tanzania,2017,uniqueid_5640,Rural,Yes,5,70,Male,Other relative,Single/Never Married,Vocational/Specialised training,Formally employed Private,Tanzania_uniqueid_5640,No
Rwanda,2016,uniqueid_6890,Rural,Yes,6,48,Female,Spouse,Married/Living together,No formal education,Self employed,Rwanda_uniqueid_6890,No
Kenya,2018,uniqueid_4527,Urban,Yes,1,28,Female,Head of Household,Single/Never Married,Primary education,Informally employed,Kenya_uniqueid_4527,No
Tanzania,2017,uniqueid_6564,Urban,Yes,2,43,Male,Head of Household,Single/Never Married,Tertiary education,Self employed,Tanzania_uniqueid_6564,No
Rwanda,2016,uniqueid_2417,Urban,Yes,1,81,Female,Head of Household,Widowed,Primary education,Government Dependent,Rwanda_uniqueid_2417,No
Tanzania,2017,uniqueid_5691,Urban,Yes,2,49,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_5691,No
Rwanda,2016,uniqueid_5117,Rural,Yes,3,18,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_5117,No
Kenya,2018,uniqueid_6051,Urban,Yes,4,42,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Private,Kenya_uniqueid_6051,Yes
Rwanda,2016,uniqueid_2779,Urban,Yes,6,20,Female,Parent,Single/Never Married,Secondary education,Remittance Dependent,Rwanda_uniqueid_2779,No
Rwanda,2016,uniqueid_2099,Rural,Yes,3,30,Female,Head of Household,Single/Never Married,Primary education,Informally employed,Rwanda_uniqueid_2099,No
Rwanda,2016,uniqueid_3636,Rural,No,5,29,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,Rwanda_uniqueid_3636,No
Tanzania,2017,uniqueid_132,Urban,Yes,2,35,Female,Spouse,Single/Never Married,Primary education,Informally employed,Tanzania_uniqueid_132,No
Rwanda,2016,uniqueid_609,Rural,Yes,3,20,Female,Child,Single/Never Married,No formal education,Farming and Fishing,Rwanda_uniqueid_609,No
Tanzania,2017,uniqueid_6579,Urban,Yes,1,63,Female,Head of Household,Widowed,Primary education,Self employed,Tanzania_uniqueid_6579,No
Tanzania,2017,uniqueid_4959,Urban,Yes,2,27,Female,Spouse,Single/Never Married,Secondary education,No Income,Tanzania_uniqueid_4959,No
Rwanda,2016,uniqueid_3638,Rural,No,8,39,Female,Spouse,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_3638,No
Rwanda,2016,uniqueid_4198,Rural,Yes,2,32,Male,Child,Single/Never Married,No formal education,Farming and Fishing,Rwanda_uniqueid_4198,No
Tanzania,2017,uniqueid_3307,Urban,No,3,41,Female,Head of Household,Married/Living together,Primary education,Self employed,Tanzania_uniqueid_3307,No
Rwanda,2016,uniqueid_4721,Rural,Yes,5,36,Female,Spouse,Married/Living together,Primary education,Self employed,Rwanda_uniqueid_4721,No
Rwanda,2016,uniqueid_1569,Rural,Yes,5,19,Male,Other non-relatives,Single/Never Married,Primary education,Farming and Fishing,Rwanda_uniqueid_1569,No
Uganda,2018,uniqueid_402,Urban,Yes,2,31,Female,Head of Household,Single/Never Married,Secondary education,No Income,Uganda_uniqueid_402,No
Kenya,2018,uniqueid_574,Rural,Yes,8,39,Male,Head of Household,Married/Living together,Primary education,Informally employed,Kenya_uniqueid_574,No
Tanzania,2017,uniqueid_560,Urban,Yes,1,25,Female,Head of Household,Divorced/Seperated,Primary education,Self employed,Tanzania_uniqueid_560,No
Rwanda,2016,uniqueid_4497,Rural,Yes,5,53,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,Rwanda_uniqueid_4497,No
Tanzania,2017,uniqueid_2343,Urban,Yes,2,18,Female,Child,Divorced/Seperated,Secondary education,Informally employed,Tanzania_uniqueid_2343,No
Rwanda,2016,uniqueid_926,Rural,Yes,10,17,Female,Child,Single/Never Married,Primary education,Farming and Fishing,Rwanda_uniqueid_926,No
Kenya,2018,uniqueid_5397,Urban,Yes,3,56,Female,Head of Household,Widowed,Vocational/Specialised training,Farming and Fishing,Kenya_uniqueid_5397,Yes
Rwanda,2016,uniqueid_7755,Rural,Yes,4,29,Female,Spouse,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_7755,No
Rwanda,2016,uniqueid_6016,Rural,Yes,8,19,Female,Child,Single/Never Married,Secondary education,Farming and Fishing,Rwanda_uniqueid_6016,No
Kenya,2018,uniqueid_5680,Rural,Yes,3,50,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,Kenya_uniqueid_5680,Yes
Kenya,2018,uniqueid_69,Urban,No,5,28,Female,Child,Single/Never Married,Primary education,Informally employed,Kenya_uniqueid_69,No
Uganda,2018,uniqueid_1044,Rural,Yes,6,30,Female,Head of Household,Married/Living together,Secondary education,No Income,Uganda_uniqueid_1044,No
Rwanda,2016,uniqueid_7749,Urban,Yes,4,58,Male,Head of Household,Married/Living together,Secondary education,Other Income,Rwanda_uniqueid_7749,Yes
Kenya,2018,uniqueid_3000,Rural,Yes,6,32,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent,Kenya_uniqueid_3000,No
Kenya,2018,uniqueid_4747,Urban,Yes,9,60,Male,Head of Household,Married/Living together,Tertiary education,Informally employed,Kenya_uniqueid_4747,No
Tanzania,2017,uniqueid_3337,Urban,Yes,4,30,Male,Other relative,Divorced/Seperated,Secondary education,Formally employed Private,Tanzania_uniqueid_3337,No
Rwanda,2016,uniqueid_2465,Rural,Yes,5,34,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_2465,No
Tanzania,2017,uniqueid_25,Rural,Yes,5,55,Female,Head of Household,Widowed,Primary education,Remittance Dependent,Tanzania_uniqueid_25,No
Tanzania,2017,uniqueid_6364,Urban,Yes,3,25,Male,Parent,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_6364,No
Kenya,2018,uniqueid_5692,Rural,Yes,5,48,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Kenya_uniqueid_5692,No
Rwanda,2016,uniqueid_6911,Rural,Yes,8,40,Female,Spouse,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_6911,No
Tanzania,2017,uniqueid_181,Rural,Yes,2,34,Female,Spouse,Single/Never Married,Primary education,Informally employed,Tanzania_uniqueid_181,No
Tanzania,2017,uniqueid_5286,Urban,Yes,3,37,Female,Spouse,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_5286,No
Tanzania,2017,uniqueid_2521,Rural,Yes,1,67,Male,Head of Household,Married/Living together,No formal education,Remittance Dependent,Tanzania_uniqueid_2521,No
Uganda,2018,uniqueid_225,Urban,Yes,1,26,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private,Uganda_uniqueid_225,Yes
Tanzania,2017,uniqueid_2631,Urban,Yes,1,45,Male,Head of Household,Widowed,Primary education,Self employed,Tanzania_uniqueid_2631,No
Tanzania,2017,uniqueid_4071,Urban,Yes,1,75,Female,Head of Household,Widowed,No formal education,Remittance Dependent,Tanzania_uniqueid_4071,No
Kenya,2018,uniqueid_4342,Urban,Yes,7,50,Female,Spouse,Married/Living together,No formal education,Remittance Dependent,Kenya_uniqueid_4342,No
Kenya,2018,uniqueid_3018,Rural,Yes,8,23,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,Kenya_uniqueid_3018,No
Rwanda,2016,uniqueid_8348,Rural,Yes,4,33,Female,Parent,Single/Never Married,Primary education,Farming and Fishing,Rwanda_uniqueid_8348,No
Rwanda,2016,uniqueid_6747,Urban,Yes,4,29,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_6747,Yes
Rwanda,2016,uniqueid_1947,Rural,Yes,4,32,Male,Parent,Single/Never Married,Primary education,Farming and Fishing,Rwanda_uniqueid_1947,No
Rwanda,2016,uniqueid_8412,Rural,Yes,5,31,Female,Spouse,Married/Living together,Primary education,Formally employed Private,Rwanda_uniqueid_8412,No
Kenya,2018,uniqueid_4076,Urban,Yes,4,34,Male,Head of Household,Married/Living together,Secondary education,Other Income,Kenya_uniqueid_4076,Yes
Tanzania,2017,uniqueid_5928,Urban,No,4,85,Male,Head of Household,Single/Never Married,No formal education,Self employed,Tanzania_uniqueid_5928,No
Rwanda,2016,uniqueid_3597,Urban,Yes,2,30,Male,Parent,Single/Never Married,Tertiary education,Other Income,Rwanda_uniqueid_3597,Yes
Rwanda,2016,uniqueid_5473,Urban,Yes,10,32,Female,Spouse,Married/Living together,Secondary education,Formally employed Government,Rwanda_uniqueid_5473,No
Tanzania,2017,uniqueid_3074,Urban,No,3,24,Female,Spouse,Single/Never Married,Primary education,No Income,Tanzania_uniqueid_3074,No
Rwanda,2016,uniqueid_4240,Rural,Yes,3,23,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_4240,No
Tanzania,2017,uniqueid_3059,Urban,No,1,75,Male,Head of Household,Widowed,No formal education,Remittance Dependent,Tanzania_uniqueid_3059,No
Tanzania,2017,uniqueid_3305,Urban,Yes,2,32,Male,Head of Household,Single/Never Married,Tertiary education,Informally employed,Tanzania_uniqueid_3305,No
Uganda,2018,uniqueid_1760,Rural,Yes,4,19,Female,Child,Single/Never Married,Secondary education,Self employed,Uganda_uniqueid_1760,No
Rwanda,2016,uniqueid_6738,Rural,Yes,6,51,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_6738,No
Kenya,2018,uniqueid_3496,Rural,No,1,80,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Kenya_uniqueid_3496,No
